,score,popularity,genre
1518,6.86,4555,"Adventure, Demons, Fantasy, Hentai, Magic"
1519,7.52,2822,"Space, Mecha, Military, Drama, Sci-Fi"
1520,5.87,5387,"Ecchi, Music"
1521,6.52,4393,"Drama, Fantasy, Magic, Slice of Life"
1524,6.32,7672,Music
1526,6.39,7703,"Comedy, Fantasy, Kids, Magic, Shoujo"
1527,7.0,275,"Action, Comedy, Fantasy, Slice of Life, Supernatural"
1528,5.68,9703,"Sci-Fi, Space, Seinen"
1529,5.97,7209,Hentai
1530,7.44,2274,"Action, Adventure, Mecha, Sci-Fi"
1531,8.4,240,"Action, Adventure, Comedy, Historical, Romance, Samurai"
1532,7.0,1707,"Adventure, Comedy, Historical, Supernatural, Shounen"
1533,6.92,3782,"Military, Sci-Fi, Drama, Romance, Mecha"
1535,8.47,176,"Comedy, Slice of Life"
1536,7.31,5153,Hentai
1537,6.28,5745,"Space, Mecha, Military, Sci-Fi, Shounen"
1538,6.19,5775,"Action, Adventure, Mystery, Comedy, Seinen"
1539,7.93,2359,"Slice of Life, Comedy, School"
1541,7.91,774,"Game, Slice of Life, Comedy"
1543,5.63,9888,"Comedy, Kids"
1544,7.2,8287,Kids
1545,7.37,1852,"Adventure, Comedy, Drama, Kids, Sci-Fi"
1546,7.25,1193,"Action, Adventure, Magic, Fantasy"
1548,7.71,2358,"Action, Mystery, Supernatural"
1549,6.22,10018,"Adventure, Historical, Drama"
1550,7.9,1624,"Horror, Mystery, Supernatural, Vampire"
1551,6.62,7430,"Adventure, Fantasy, Kids, Slice of Life"
1553,6.69,3197,"Action, Adventure, Ecchi, Fantasy"
1554,6.36,3886,"Comedy, Romance, Yaoi"
1557,7.46,1846,"Slice of Life, Comedy, Ecchi"
1558,5.14,6687,Comedy
1559,6.83,4941,Hentai
1560,6.3,2856,"Dementia, Horror, Supernatural"
1561,7.01,591,"Action, Military, Sci-Fi, Slice of Life, School"
1562,7.56,512,"Action, Adventure, Supernatural, Shounen"
1563,8.13,1931,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen"
1564,6.71,4359,"Drama, Romance, Slice of Life"
1565,7.45,1494,"Slice of Life, Comedy"
1567,6.13,10987,Slice of Life
1568,8.15,109,"Comedy, Romance, School"
1569,5.76,8246,"Adventure, Comedy, Historical, Mecha"
1570,6.83,2650,"Action, Adventure, Fantasy, Comedy, Super Power, Shounen"
1571,5.55,11321,"Sci-Fi, Comedy, Shounen"
1572,7.27,4139,"Comedy, Sci-Fi, Shounen, Slice of Life"
1574,7.8,522,"Action, Mecha, Sci-Fi, Seinen, Space"
1575,6.33,12654,"Fantasy, Comedy, Kids"
1576,7.59,489,"Supernatural, Drama, School"
1577,7.67,248,"Drama, Harem, Psychological, Romance, School"
1578,6.46,5091,Hentai
1579,7.21,964,"Action, Adventure, Supernatural, Drama, Shounen"
1581,7.88,1352,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural"
1583,8.42,1626,"Sports, Military, School"
1584,6.81,8661,"Adventure, Drama"
1587,3.92,13260,"Music, Slice of Life, Comedy"
1588,8.45,29,"Action, Police, Psychological, Sci-Fi"
1589,7.55,5839,"Slice of Life, Comedy"
1590,6.16,2183,"Comedy, Sports"
1592,7.23,2732,Adventure
1593,6.07,2494,"Historical, Romance, Fantasy"
1597,6.4,1306,"Action, Sci-Fi, Shounen Ai"
1598,7.6,4017,"Slice of Life, Drama, Magic, Fantasy"
1600,7.41,357,"Comedy, Romance, School, Shoujo"
1602,6.55,5800,"Comedy, School, Slice of Life"
1603,6.19,5271,"Slice of Life, Comedy"
1605,7.45,641,"Comedy, Demons, Ecchi, Romance, School"
1606,5.45,13574,Drama
1610,5.03,6799,Comedy
1613,7.79,2795,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
1616,6.32,8609,"Supernatural, Fantasy"
1618,6.74,3283,"Action, Sci-Fi, Fantasy"
1619,7.35,1491,"Action, Sci-Fi, Adventure, Mystery, Drama, Shoujo"
1620,6.82,5816,"Action, Sci-Fi, Harem, Space, Comedy, Shounen"
1621,4.93,11898,Comedy
1622,8.33,65,"Comedy, Drama, Romance, School, Slice of Life"
1623,7.4,2938,"Slice of Life, Mystery, Drama"
1624,6.35,5423,"Historical, Seinen, Slice of Life"
1629,6.09,10567,"Action, Adventure, Mecha"
1630,4.56,8425,"Comedy, Mecha"
1631,6.27,7304,"Romance, School"
1632,6.35,5834,"Hentai, School"
1633,6.06,8065,"Adventure, Historical, Drama"
1634,8.24,1072,"Adventure, Mystery, Romance, Sci-Fi"
1635,6.75,5070,"Romance, Supernatural, Comedy, School"
1636,6.68,6788,"Cars, Shounen, Sports"
1637,6.58,5735,"Comedy, Slice of Life"
1638,5.51,11590,"Adventure, Kids"
1639,7.44,2989,"Action, Sports, Shounen"
1640,7.37,3589,"Hentai, Supernatural, School"
1641,6.8,5389,"Action, Drama, Magic"
1643,6.57,8332,"Action, Mecha, Sci-Fi, Shounen"
1644,6.62,4827,"Adventure, Comedy, Fantasy, Kids, Music"
1645,7.54,773,"Action, Historical, Supernatural, Drama, Samurai, Josei"
1646,4.73,3619,"Comedy, Police"
1647,6.27,1334,"Harem, Comedy, Romance, Ecchi"
1648,6.13,5971,"Comedy, Ecchi, Romance, Sci-Fi"
1649,7.56,1598,"Action, Military, Comedy, Romance"
1650,6.51,7537,"Comedy, Ecchi, School"
1651,6.83,4905,"Slice of Life, Music, School"
1654,8.35,174,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen"
1655,8.1,385,"Action, Mystery, Supernatural"
1657,5.28,9259,"Comedy, Seinen"
1659,5.53,12796,"Drama, Historical"
1660,5.96,6684,"Comedy, Parody, School, Seinen"
1661,6.84,2413,"Comedy, Fantasy, Kids"
1662,6.99,5206,"Hentai, School"
1665,6.66,7639,"Adventure, Magic, Fantasy, Shoujo"
1667,5.46,4507,"Action, Comedy, Police"
1668,6.74,5566,"Action, Comedy, Martial Arts, Parody, School, Shounen, Sports"
1669,6.49,2053,"Romance, Shoujo"
1671,7.34,993,"Action, Horror, Martial Arts"
1673,7.59,4787,"Comedy, Drama, Seinen"
1674,7.18,4782,"Comedy, School, Sci-Fi, Slice of Life"
1675,7.0,283,"Action, Drama, School, Slice of Life"
1676,8.48,651,"Action, Mystery, Drama, Fantasy, Seinen"
1677,6.38,8767,"Adventure, Comedy, Fantasy, Kids, Romance, Shounen"
1679,5.8,10222,Music
1680,6.59,3773,"Action, Sci-Fi, School"
1681,7.49,5644,"Comedy, Drama, Slice of Life"
1682,8.41,508,"Sci-Fi, Music"
1687,6.46,6398,"Action, Sci-Fi, Adventure, Mecha, Shounen"
1688,7.85,3453,"Action, Adventure, Comedy, Drama, Seinen"
1689,5.4,9094,"Action, Comedy, Fantasy, Shounen"
1690,7.42,1526,"Action, Military, Sci-Fi, Adventure, Historical, Drama"
1693,6.18,4468,Hentai
1695,4.61,12307,Comedy
1697,7.22,2145,"Action, Super Power, Magic, Romance, Fantasy"
1698,7.4,1696,"Comedy, Historical, Parody"
1699,6.77,2896,"Action, Fantasy, Game, Sci-Fi, Shounen"
1701,7.09,2465,"Comedy, Josei, School, Slice of Life"
1702,6.73,2192,"Action, Demons, Fantasy, Super Power"
1704,6.86,3271,"Action, Adventure, Fantasy, Magic, Shounen"
1705,6.63,1234,"Comedy, Ecchi, Harem, Romance, School"
1706,6.9,4409,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen"
1708,6.92,7440,"Adventure, Drama, Historical, Slice of Life"
1710,7.01,1848,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
1711,6.82,2758,"Drama, Magic"
1712,6.59,4480,Hentai
1713,6.61,9180,"Action, Cars, Comedy, Police, Sports"
1715,6.57,4828,"Ecchi, Comedy, Romance"
1716,8.0,711,"Action, Comedy, Supernatural"
1717,8.02,1691,"Action, Drama, Military, Sci-Fi, Space"
1719,7.21,4748,"Action, Mecha, Military"
1720,6.19,2510,"Drama, Seinen, Thriller"
1721,5.88,8103,"Action, Sci-Fi, Seinen, Super Power"
1722,6.96,2605,"Sci-Fi, Adventure, Super Power, Martial Arts, Fantasy, Shounen"
1723,5.89,2514,"Comedy, Fantasy, Psychological, Sci-Fi"
1724,6.19,6657,Hentai
1725,6.28,3643,"Slice of Life, Drama"
1726,6.87,1175,"Fantasy, Romance, Shoujo, Supernatural"
1727,7.85,2935,"Psychological, Drama, School, Shoujo, Shoujo Ai"
1728,5.02,9228,Hentai
1729,6.81,4923,"Action, Martial Arts, Samurai, Seinen"
1730,7.16,5404,"Action, Sci-Fi, Music, Drama, Mecha"
1734,5.57,4176,"Fantasy, Comedy"
1736,5.89,7406,"Slice of Life, Comedy, Josei"
1737,6.89,2809,"Action, Adventure, Fantasy"
1738,5.41,7729,Fantasy
1739,5.82,5945,"Action, Super Power, Sci-Fi"
1741,7.21,7442,"Adventure, Mecha, Sci-Fi, Shounen, Space"
1743,3.91,13407,Kids
1744,7.67,2320,"Adventure, Fantasy, Psychological"
1745,5.22,11065,"Comedy, Slice of Life"
1746,6.09,6370,"Comedy, Supernatural"
1747,7.45,3349,"Music, School"
1748,7.93,4122,"Comedy, Historical, Romance, School, Shoujo, Slice of Life"
1750,5.7,10842,Music
1751,7.36,1891,"Romance, School, Shoujo"
1752,6.79,6616,"Comedy, School, Seinen, Slice of Life"
1753,7.13,5407,"Action, Mecha, Sci-Fi, Super Power"
1754,6.99,4643,"Comedy, Slice of Life"
1755,6.29,2894,"Comedy, Fantasy, Game"
1757,7.92,72,"Drama, School, Super Power"
1758,6.25,13054,Kids
1759,8.1,957,"Military, Adventure, Drama, Magic, Fantasy, Shounen"
1760,7.46,8673,"Adventure, Comedy, Kids, Fantasy, Shounen"
1761,6.18,10485,Comedy
1762,7.6,2413,"Action, Super Power, Psychological, Supernatural"
1763,7.07,4439,Hentai
1766,7.95,1751,"Comedy, Shoujo Ai, Slice of Life"
1767,5.22,5556,"Action, Sci-Fi, Horror, Police, Supernatural"
1769,7.15,5769,"Adventure, Drama, Historical, Slice of Life"
1773,6.9,3471,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life"
1776,7.73,1267,"Mystery, Horror, Supernatural"
1777,6.7,2612,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
1779,6.57,832,"Ecchi, Super Power, Martial Arts, School"
1780,6.11,6937,Hentai
1781,2.61,6321,"Action, Comedy, Ecchi"
1782,6.36,6880,"Sci-Fi, Adventure, Demons, Fantasy, Seinen"
1784,7.34,1379,"Action, Police"
1785,8.1,97,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller"
1786,6.84,6872,"Fantasy, Magic, Shoujo"
1787,7.88,2837,Hentai
1788,7.92,1164,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
1789,7.29,1427,"Adventure, Comedy, Drama, Fantasy, Kids"
1790,6.59,4135,Hentai
1791,6.37,8192,"Comedy, Samurai, School"
1792,8.37,85,"Comedy, School, Shounen, Sports"
1793,5.38,4358,Slice of Life
1796,6.18,3593,Fantasy
1797,7.5,235,"Comedy, Harem, Romance, School, Shounen"
1798,7.29,1039,"Comedy, Ecchi, Harem, Parody, Romance"
1799,7.59,129,"Action, Comedy, Ecchi, Harem, Magic, Supernatural"
1800,6.14,12177,"Adventure, Comedy, Fantasy, Kids, Magic"
1801,7.32,1037,"Sports, Drama, Romance, Shounen"
1802,6.47,10246,"Action, Sci-Fi, Adventure, Comedy, Mecha"
1804,6.75,3061,"Romance, Shoujo"
1805,7.84,3760,"Slice of Life, Comedy, School, Seinen"
1806,7.46,1192,"Comedy, Drama, Martial Arts"
1807,7.79,199,"Action, Comedy, Fantasy, Supernatural"
1811,6.57,1589,"Comedy, Fantasy, Seinen, Slice of Life"
1812,6.92,3137,"Adventure, Comedy, Magic, Romance, Shoujo"
1813,8.07,1444,"Comedy, Drama, Romance, School, Shounen, Slice of Life"
1814,6.59,9457,"Action, Adventure, Kids"
1815,7.91,133,"Comedy, Ecchi, Romance, School, Seinen"
1816,6.19,7674,Comedy
1818,6.11,5790,Sci-Fi
1819,7.36,2893,"Comedy, Magic, Romance, Shoujo"
1822,7.62,1022,"Action, Adventure, Historical, Supernatural, Drama, Fantasy, Shounen"
1823,7.45,299,"Mystery, Supernatural, Drama, Romance, Vampire, Shoujo"
1824,7.87,1215,"Action, Space, Mecha, Military, Sci-Fi"
1826,7.18,4951,"Action, Adventure, Sci-Fi, Space"
1827,6.9,3808,"Sci-Fi, Adventure, Comedy, Magic"
1828,6.84,739,"Action, Historical, Military"
1829,8.66,81,"Action, Supernatural, Magic, Fantasy"
1830,7.53,2158,"Action, Comedy, Super Power, Martial Arts, Shounen"
1831,5.5,10722,Comedy
1832,6.41,6965,Comedy
1834,7.79,4466,"Comedy, Slice of Life, Shoujo"
1835,6.94,7982,Space
1836,6.41,8399,"Action, Military, Sci-Fi, Adventure, Shounen"
1837,6.23,6348,"Adventure, Fantasy, Historical, Romance"
1839,6.91,6013,"Action, Sci-Fi, Adventure, Space, Drama, Mecha, Shounen"
1843,7.31,915,"Slice of Life, Comedy, Super Power, Seinen"
1844,7.66,1639,"Sports, Drama, Seinen"
1845,7.25,5599,"Action, Mecha, Sci-Fi, Super Power"
1846,6.57,848,"Comedy, Harem, Romance, School"
1847,7.35,2021,Hentai
1848,6.37,11428,"Comedy, Samurai, Shounen"
1849,7.09,3689,"Comedy, Shounen"
1850,7.51,4290,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life"
1851,6.7,3706,"Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi"
1853,6.53,6607,"Slice of Life, Comedy"
1854,6.84,4649,"Comedy, Fantasy, Shoujo"
1855,6.81,553,"Drama, Romance, School"
1857,8.21,630,"Action, Adventure, Historical, Fantasy"
1858,6.73,4760,"Mystery, Seinen, Supernatural, Thriller"
1859,6.55,5413,"Comedy, Magic, Parody"
1861,4.04,8059,Dementia
1862,7.44,2487,"Music, School, Shoujo, Slice of Life"
1863,7.78,2286,"Music, Sci-Fi"
1864,7.66,1079,"Action, Mystery, Police, Psychological, Supernatural, Thriller"
1865,7.36,5141,"Action, Fantasy, Magic, Shoujo"
1866,6.85,6101,"Adventure, Historical, Kids, Romance"
1867,7.22,3899,"Ecchi, Romance, Comedy, Sci-Fi"
1869,6.99,7012,"Music, Sports, Shoujo"
1870,5.84,8970,"Comedy, Magic, Shoujo"
1871,5.18,6868,Mystery
1872,6.31,3795,"Slice of Life, Comedy, Fantasy"
1873,7.48,797,"Action, Sci-Fi, Mecha"
1874,5.7,5293,"Action, Horror, Super Power, Demons, Supernatural, Martial Arts"
1875,7.64,6760,Hentai
1876,6.28,6415,"Ecchi, Adventure, Comedy, Mecha, Sci-Fi"
1879,7.73,142,"Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen"
1880,7.19,948,"Action, Adventure, Comedy, Kids, Fantasy"
1881,6.34,7138,"Comedy, Sci-Fi, Space"
1882,7.42,1524,"Fantasy, Comedy, Shounen"
1883,7.43,5810,"Action, Sports, Drama"
1884,8.45,210,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
1885,7.36,5844,"Sci-Fi, Comedy, Psychological, Drama"
1886,6.92,3777,"Mystery, Supernatural, Drama, Romance, Fantasy"
1887,6.63,1643,"Action, Adventure, Comedy, Fantasy, Kids"
1889,8.83,727,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
1890,7.02,4465,Fantasy
1891,6.44,7211,"Drama, Sci-Fi, Seinen, Space"
1892,7.04,1209,"Harem, Romance, School"
1893,6.46,6132,"Comedy, Mystery, School, Shounen, Super Power"
1894,7.72,1205,"Comedy, Drama, Fantasy, Magic, Shoujo"
1897,7.43,2002,"Comedy, Parody"
1898,7.46,3064,"Adventure, Space, Fantasy"
1899,7.71,909,"Action, Military, Romance"
1901,7.41,639,"Slice of Life, Drama, Romance, School"
1903,6.13,6917,"Comedy, Sci-Fi, Super Power"
1904,7.04,7696,"Fantasy, Magic, Shoujo"
1905,5.9,9088,Fantasy
1906,6.76,4247,"Sci-Fi, Adventure, Comedy, Mecha, Seinen"
1909,7.45,3126,"Adventure, Comedy, Supernatural, Magic, Fantasy, Shounen"
1910,7.22,2846,"Drama, Music"
1912,6.63,2855,"Action, Comedy, Mecha, Sci-Fi"
1913,6.31,2655,"Action, Military, Sci-Fi, Magic, Ecchi"
1914,5.7,3104,Sports
1916,7.04,800,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
1917,7.6,125,"Action, Horror, Supernatural, Vampire, Seinen"
1919,7.57,2690,"Military, Police, Drama, Mecha"
1920,7.1,4794,"Slice of Life, Comedy, Seinen"
1923,6.56,9351,Adventure
1924,6.18,4161,"Action, Adventure, Ecchi, Fantasy"
1925,6.54,9425,"Action, Comedy, Sports, Shounen"
1926,5.52,1177,"Drama, Romance, Shoujo Ai"
1927,6.48,3874,"Action, Game, Adventure, Romance, Fantasy"
1931,7.3,3567,"Fantasy, Music"
1933,6.88,4600,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space"
1934,5.73,2984,"Comedy, Ecchi, Romance, Seinen"
1935,7.87,614,"Action, Military, Police, Sci-Fi"
1936,4.0,12644,Comedy
1937,6.6,9096,"Slice of Life, Historical, Drama"
1939,6.68,7926,"Music, Shoujo"
1940,5.4,2310,"Comedy, Ecchi, Shoujo Ai"
1941,6.16,12356,Music
1944,6.67,3823,"Adventure, Comedy, Demons, Historical, Supernatural"
1945,5.77,13322,Music
1946,7.68,189,"Action, Comedy, Demons, Ecchi, Harem, Romance, School"
1948,7.83,343,"Action, Adventure, Comedy, Supernatural, Drama, Shounen"
1951,6.77,8385,"Comedy, Supernatural"
1953,6.99,8045,"Adventure, Comedy"
1955,7.39,255,"Harem, Comedy, Supernatural, Romance, School"
1956,7.91,1493,"Comedy, School, Shoujo, Slice of Life"
1957,6.02,6433,Hentai
1958,6.61,2421,Comedy
1959,6.97,3276,"Adventure, Mecha, Sci-Fi, Shounen"
1960,6.08,7143,"Comedy, Fantasy"
1965,7.2,1889,"Comedy, Harem, Music, Romance, School, Shoujo"
1967,7.49,1127,"Action, Comedy, Drama, Magic, Super Power"
1968,6.61,3657,"Adventure, Fantasy"
1969,4.89,12225,"Slice of Life, Comedy"
1970,7.32,1527,"Action, Horror, Supernatural, Vampire"
1971,7.47,1659,"Slice of Life, Historical, Seinen"
1972,7.46,4448,"Drama, Historical, Shounen"
1973,7.35,3101,"Adventure, Sci-Fi, Shounen"
1974,7.15,931,"Action, Comedy, Fantasy"
1976,7.42,2610,"Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen"
1977,6.26,1732,"Harem, School, Shoujo"
1979,6.17,4581,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
1980,7.41,1273,"Action, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School, Shounen"
1981,8.54,1327,"Action, Comedy, Historical, Demons, Supernatural, Fantasy"
1982,5.44,3036,"Action, Super Power, Magic"
1983,7.74,1028,"Action, Comedy, Drama, Magic, Seinen"
1985,7.55,2949,"Action, Sci-Fi, Adventure, Space"
1987,5.97,7589,Comedy
1989,6.0,7212,Hentai
1991,6.14,6006,"Hentai, Yaoi"
1992,6.92,7145,"Action, Drama, Mecha, Military, Sci-Fi"
1993,6.81,4327,"Comedy, Romance, School"
1994,6.87,1318,"Comedy, Ecchi, Harem, Sci-Fi, Shounen, Supernatural"
1995,7.48,4087,"Harem, Comedy, Romance, School"
1997,6.13,9274,"Adventure, Historical, Kids, Drama"
1999,8.77,569,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
2000,7.02,2254,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
2001,3.67,13823,"Music, Space"
2002,7.21,3892,Hentai
2004,7.63,1478,"Fantasy, Dementia, Drama"
2005,7.35,3102,"Action, Sci-Fi, Horror"
2006,7.5,1229,"Action, Historical, Psychological, Drama, Martial Arts, Samurai, Seinen"
2007,6.8,6282,"Action, Comedy, Fantasy, Magic, Shoujo"
2008,7.3,2909,"Comedy, School"
2010,8.32,784,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
2011,7.19,2803,"Comedy, Drama, Historical, Magic, Mecha, Sci-Fi"
2013,6.77,2383,"Romance, School, Shoujo"
2014,7.6,1618,"Slice of Life, Comedy, School, Seinen"
2015,6.41,3483,"Comedy, Romance, Ecchi"
2016,7.07,1037,"Comedy, Parody, School, Shounen"
2018,6.36,2667,"Ecchi, Comedy"
2019,3.8,14002,"Music, Sci-Fi"
2020,6.75,2923,"Action, Comedy, Fantasy, School"
2021,6.97,2441,"Action, Comedy, Demons, Ecchi, Harem, Romance, School"
2023,8.03,1499,"Comedy, Sports, Drama, Fantasy, Shoujo"
2024,8.03,1231,"Comedy, School, Shoujo Ai, Slice of Life"
2025,6.29,3292,"Adventure, Comedy, Romance, Fantasy"
2026,6.31,7468,"Comedy, School"
2027,6.48,7627,"Action, Adventure, Demons, Fantasy, Game, Kids, Magic, Sci-Fi, Supernatural"
2029,7.17,2431,"Adventure, Mecha, Sci-Fi, Shounen"
2030,6.55,9768,"Action, Mecha, Sci-Fi"
2032,6.86,1777,"Fantasy, Magic, Comedy"
2034,7.92,1649,"Action, Mystery, Supernatural, Drama"
2035,7.65,2269,"Action, Mystery, Supernatural"
2036,6.7,4986,"Action, Sci-Fi, Comedy, Ecchi"
2037,6.22,5805,"Comedy, Romance, Shounen Ai"
2038,5.33,5965,"Sci-Fi, Space, Mecha"
2040,6.92,2261,"Horror, Psychological, Supernatural"
2041,7.27,10898,"Comedy, Sports"
2042,6.42,5829,Hentai
2043,7.41,1934,"Comedy, School, Shounen, Supernatural"
2044,7.79,2031,"Action, Military, Sci-Fi, Space, Romance"
2045,5.14,10869,"Sci-Fi, Comedy"
2049,6.38,5729,"Fantasy, Hentai, Magic"
2050,6.6,2520,"Comedy, Ecchi, Seinen"
2053,7.94,726,"Action, Drama, Sci-Fi, Seinen, Super Power"
2054,7.0,2574,"Comedy, Ecchi, Harem, Romance, School, Shounen"
2055,8.28,745,"Action, Cars, Drama, Seinen, Sports"
2057,6.29,8576,Action
2059,8.0,657,"Action, Mystery, Supernatural, Thriller"
2060,7.91,4105,"Action, Military, Sci-Fi, Space, Drama"
2061,7.16,3944,"Action, Comedy, Mecha, Super Power, Sci-Fi, Shounen"
2062,6.25,8293,"Game, Drama"
2063,6.93,9338,Fantasy
2065,7.63,2579,"Adventure, Fantasy, Mystery, Romance, Sci-Fi"
2066,7.12,7514,Music
2067,7.29,503,"Harem, Comedy, Ecchi, School"
2068,4.97,8212,"Action, Comedy, Romance, Hentai, Supernatural"
2071,6.91,3044,Hentai
2072,5.95,5750,"Sports, School"
2073,8.35,251,"Mystery, Psychological, Supernatural, Thriller"
2074,7.76,1670,"Comedy, Sports"
2075,5.78,10057,Slice of Life
2076,6.32,8890,"Comedy, Sci-Fi, Shounen"
2079,7.01,3249,"Fantasy, Drama, Mystery, Sci-Fi, Shounen"
2081,8.12,3389,"Comedy, Shounen"
2082,7.49,1288,"Action, Mecha, Military"
2084,7.49,193,"Comedy, Ecchi, School"
2085,6.89,3024,"Military, Sci-Fi, Space, Drama, Mecha"
2087,3.6,13392,"Kids, Music"
2088,6.76,3207,"Harem, Romance, Shoujo"
2089,6.17,6093,Hentai
2090,7.01,3401,"Action, Sci-Fi, Adventure, Super Power, Kids, Mecha, Shounen"
2092,7.13,7178,"Drama, Historical, Kids, Slice of Life"
2093,5.07,4231,Yaoi
2096,7.17,3705,"Action, Comedy, Horror, Supernatural, Shounen"
2099,5.47,5509,"Action, Kids, Fantasy, Comedy, Romance"
2100,7.92,3203,"School, Shoujo, Shoujo Ai, Slice of Life"
2101,6.29,9652,"Action, Sci-Fi, Mecha"
2102,7.9,376,"Action, Drama, Psychological, Sci-Fi, Seinen"
2103,7.91,2620,"Comedy, Demons, Supernatural, Fantasy, Seinen"
2104,6.39,7371,"Action, Adventure, Mecha, Sci-Fi, Shounen, Space"
2108,7.61,3594,"Action, Fantasy, Kids"
2110,6.98,4602,"Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space"
2111,7.36,2744,"Action, Sci-Fi, Adventure, Mecha, Shounen"
2112,6.02,6889,Drama
2114,6.69,11803,"Comedy, Fantasy"
2115,7.1,2977,"Comedy, Historical, Seinen"
2116,7.75,497,"Action, Demons, Shounen, Supernatural"
2117,7.2,1084,"Harem, Slice of Life, Comedy, Romance, School"
2120,8.3,1126,"Action, Adventure, Shounen, Super Power"
2121,8.16,106,"Action, Adventure, Comedy, Super Power, Demons, Shounen"
2124,6.29,6561,"Romance, Drama"
2125,8.13,2654,"Fantasy, Romance, Shoujo"
2126,6.44,4834,"Action, Adventure, Shounen"
2128,6.95,616,"Harem, Comedy, Romance, Ecchi, Martial Arts, Shounen"
2131,6.64,1298,"Comedy, Ecchi, Slice of Life"
2133,7.32,2175,"Action, Fantasy, Mecha, Sci-Fi"
2134,7.38,1653,"Action, Comedy, Super Power"
2135,6.21,13162,Kids
2136,7.7,3583,"Action, Comedy, Drama, Shounen"
2137,7.96,1787,"Action, Adventure, Comedy, Drama"
2138,5.36,12079,Comedy
2139,5.43,12913,Music
2144,7.49,205,"Comedy, Horror, Supernatural, Romance, Ecchi, Shounen"
2145,8.36,1778,"Comedy, Drama, Shounen, Sports"
2146,6.9,4449,"Super Power, Shounen"
2148,6.89,1918,"Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life"
2149,5.98,7134,Hentai
2152,6.71,571,Action
2153,7.19,2189,"Slice of Life, Comedy, Drama"
2154,6.42,5375,"Action, Sports, School, Shounen"
2155,5.69,10613,Adventure
2156,7.49,843,"Mystery, Supernatural"
2157,5.0,12480,"Sci-Fi, Slice of Life, Comedy, Kids, School"
2159,7.86,1082,"Comedy, Historical, Parody"
2160,7.05,2039,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power"
2163,6.14,3355,"Action, Sci-Fi, Adventure"
2164,7.41,1622,"Action, Supernatural, Ecchi, Vampire, Fantasy, School, Shounen"
2165,5.61,10777,"Fantasy, Magic, Music, Romance, School, Sci-Fi, Shoujo"
2167,7.14,2330,"Comedy, Shoujo, Shounen Ai"
2168,7.14,7256,"Adventure, Fantasy"
2170,7.11,369,"Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen"
2172,5.03,10826,"Horror, Shounen"
2173,7.44,709,"Action, Sci-Fi, Horror, Supernatural, Shoujo Ai"
2175,6.34,10830,"Comedy, Demons, Kids, Supernatural"
2176,6.11,8204,"Action, Mecha, Sci-Fi, Seinen"
2177,6.81,4796,"Comedy, Historical, Romance, Sci-Fi, Shounen"
2178,6.67,3177,"Adventure, Fantasy, Kids"
2179,6.84,7307,"Action, Comedy, Horror"
2187,7.79,2066,"Adventure, Drama, Fantasy"
2188,6.17,5769,"Fantasy, Shoujo"
2189,7.04,2981,"Comedy, Ecchi, Romance, Shounen, Supernatural, Vampire"
2190,7.33,1442,"Adventure, Fantasy"
2192,6.47,1404,"Drama, Horror, Psychological, Supernatural"
2193,6.76,6055,"Comedy, Supernatural, Seinen"
2194,7.39,791,"Comedy, School, Shounen, Supernatural"
2195,6.54,11757,"Adventure, Kids"
2197,7.01,2210,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports"
2198,8.71,1432,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
2199,7.88,10,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
