,score,popularity,genre
151,5.36,11317,Comedy
154,7.22,2150,"Drama, Mecha, Sci-Fi, Shounen"
155,6.09,7736,"Action, Drama, Sci-Fi, Shoujo, Super Power"
160,7.51,440,"Slice of Life, Comedy, Romance, Seinen"
161,8.07,4412,"Action, Adventure, Comedy, Romance, School, Shounen"
162,7.56,3012,"Action, Drama, Mecha, Military, Sci-Fi, Space"
163,7.98,51,"Comedy, Demons, Supernatural, Romance, Fantasy"
164,7.33,2470,"Fantasy, Comedy, Harem, Romance, Drama"
165,5.95,10247,Mecha
166,6.88,3333,"Action, Comedy, Mecha, Sci-Fi, Shounen"
167,7.49,1572,"Fantasy, Magic, Shounen"
168,7.03,3722,"Sci-Fi, Comedy, Police, Mecha"
171,7.84,724,"Psychological, Historical, Thriller, Drama, Seinen"
172,7.34,1518,"Supernatural, Drama, Romance, Josei"
173,7.3,4302,"Military, Sci-Fi, Space, Drama, Mecha"
174,6.09,9736,"Fantasy, Mystery, Romance, Shoujo"
176,6.66,5181,"Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen"
177,6.9,6992,"Slice of Life, Magic, Comedy, Seinen"
178,7.93,354,"Drama, Psychological, School, Slice of Life"
179,7.68,7272,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy"
181,7.82,855,"Comedy, Romance, Seinen"
182,7.85,1922,"Adventure, Drama, Fantasy"
184,6.01,7663,"Slice of Life, Comedy, Josei"
185,6.02,145,"Harem, Drama, Romance, School"
186,5.91,7352,"Action, Fantasy, Supernatural"
187,8.24,1261,"Action, Cars, Sports, Drama, Seinen"
188,7.68,464,"Comedy, Historical, Parody"
189,5.13,8342,"Action, Sci-Fi, Space"
190,6.08,3890,"Drama, Romance, School, Supernatural"
192,5.8,12763,"Adventure, Comedy"
194,6.68,7490,"Drama, Sci-Fi, Space"
195,8.09,3959,"Adventure, Mystery, Historical, Drama"
196,7.29,5187,"Action, Sci-Fi, Mecha"
198,4.54,12576,"Slice of Life, Mystery, Comedy"
199,6.65,3504,"Slice of Life, Comedy, Josei"
205,8.87,1107,"Drama, Historical, Josei"
207,6.51,5194,"Hentai, School, Supernatural"
208,7.88,796,"Action, Military, Adventure, Demons, Supernatural, Fantasy, Seinen"
209,7.57,903,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power"
212,5.26,4008,Ecchi
213,6.71,3310,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural"
214,8.18,2181,"Action, Military, Sci-Fi, Super Power, Mecha, School"
215,7.64,3812,"Action, Military, Adventure, Drama, Romance"
216,5.77,5846,Drama
217,6.75,454,"Ecchi, Comedy, Supernatural"
218,6.43,972,"Fantasy, Harem, Romance, School"
220,6.81,8170,"Adventure, Demons, Magic, Fantasy, Shounen"
222,6.8,1130,"Action, Fantasy, Historical, Samurai"
225,6.35,8527,Comedy
226,8.64,1038,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
227,8.14,3165,"Action, Comedy, Historical, Parody, Samurai, Shounen"
228,7.77,703,"Action, Mystery, Horror, Psychological, School"
229,7.53,554,"Action, Comedy, Drama, Magic, Seinen"
230,8.11,373,"Action, Drama, Seinen, Thriller"
231,6.49,2440,"Comedy, Ecchi, Romance, Seinen, Slice of Life"
232,5.8,5950,Slice of Life
233,7.64,2806,"Action, Cars, Drama, Seinen, Sports"
234,6.52,6254,"Kids, Slice of Life, Comedy"
235,7.11,371,"Action, Demons, Fantasy"
236,6.95,712,"Action, Comedy, Ecchi, Harem, Samurai, School"
238,6.9,1249,"Romance, School, Shoujo"
241,6.83,5042,Comedy
242,6.03,7324,Slice of Life
243,6.81,6266,"Sci-Fi, Adventure, Space, Mecha"
